mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
-1.7063977,1.5366706,0.9349263,1.2745965,-6.194943,-5.808515,-7.44938,-5.511973
-0.31817997,-0.35780233,-0.4028648,-0.5998184,-6.2929487,-7.535791,-7.816312,-5.635711
1.4623506,0.0022899136,2.5734718,0.4020815,-5.703372,-5.974573,-5.661625,-4.4624414
1.8322495,1.7675195,0.48820952,1.0465387,-6.3027477,-6.918129,-7.6543713,-6.095249
-1.6376656,-1.3364856,2.1530254,-0.32641,-5.9314256,-6.4250436,-6.962449,-3.4712377
1.2227784,0.12019474,0.61098254,-1.2889459,-6.3074226,-7.640793,-7.9214296,-5.6595144
-0.84409267,-0.030203946,2.4841835,1.228798,-5.6412024,-6.19447,-6.3109694,-4.067287
-1.6640635,-0.5719094,1.1691841,-0.4173842,-6.4675493,-7.4134207,-7.632593,-4.0914617
-0.1882034,-0.41367424,1.646852,-0.03044153,-5.820857,-7.045583,-6.9891214,-4.2833037
-1.645012,0.15717337,0.14721179,-0.5998235,-6.4196763,-7.082298,-7.4912834,-4.7743373
-0.429436,0.18947181,0.6937092,-0.1435091,-6.186119,-7.3261003,-8.066062,-5.098983
-2.081859,2.3225605,0.5917373,1.9085205,-5.730059,-4.9231334,-6.1873903,-5.30384
1.3811319,0.6382243,0.054094233,-1.589855,-5.7941256,-6.5010376,-6.8191767,-5.4728394
0.072590165,0.97796136,1.6685805,-0.7913581,-5.560138,-7.5300117,-7.8661547,-4.8955417
-1.3877362,0.50209624,2.7070904,1.5066279,-6.2446737,-6.58392,-7.3413897,-4.7534704
-0.06154938,-0.955897,0.16054419,-1.0746908,-6.5907145,-7.6902523,-8.162557,-4.694761
1.0823735,-0.61707866,1.5284206,-1.0192323,-5.869506,-6.8567815,-7.206073,-5.4053097
0.94659996,1.5578668,-0.1899029,0.62874454,-5.9021354,-6.2660747,-7.2888556,-5.7770042
-0.121451154,-0.9274297,0.39472783,-0.89002687,-6.477297,-7.650863,-8.2198305,-4.469909
1.0156492,-0.039103583,0.63705313,-1.0764087,-6.431283,-7.8539834,-8.258162,-5.6743636
-0.21548054,-0.89340574,0.57563573,-0.7238651,-6.39328,-7.56232,-8.186642,-4.3697104
-0.4465634,-0.33907053,-0.32839587,-0.63200295,-6.3693385,-7.497674,-7.7523794,-5.5340905
-0.7318667,0.79663485,-0.035166115,-0.22123064,-6.058318,-6.568944,-7.7513247,-5.3967304
-1.4308501,1.1489788,1.0982089,1.0256935,-6.2603817,-6.273919,-7.72225,-5.385436
-0.63290936,0.6577874,0.16898406,-0.20766738,-6.1141677,-6.7470064,-7.8894043,-5.388296
