mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
1.4663608,-1.0105143,-0.27536762,-0.3112963,-2.3622575,-2.0589256,-2.040517,-1.7826707
0.2552354,1.0250664,-0.34992158,0.68736553,-2.711377,-1.9041674,-2.1360753,-1.7768266
-0.82432365,-0.13176395,0.158853,-1.4302255,-2.528425,-2.2241702,-2.2874215,-1.7329371
-0.8251947,-0.3927137,1.3598566,2.2552476,-2.5139744,-1.97311,-1.9577326,-1.7357202
0.49640626,-2.4546695,0.9532628,0.2577843,-2.709544,-1.9752727,-1.8663658,-1.7677279
0.1372812,-0.25871837,-0.55492646,0.5679546,-2.6626527,-2.1365514,-2.1549935,-1.8336697
-0.7644612,1.4776611,-1.5553421,0.31966057,-2.5048409,-1.7349173,-2.0901217,-1.6523838
1.4518679,0.23500939,-1.703613,-0.649237,-2.4178395,-1.8776317,-1.9600726,-1.8658187
0.50070256,-0.15715213,1.6332742,-0.17843634,-2.760258,-1.9966184,-1.9938407,-1.8128777
-0.6867449,-0.9650334,0.78618455,1.1409825,-2.7945364,-2.1678057,-2.0656948,-1.8992431
-1.5486108,0.8454823,1.2425617,1.1934016,-2.2082334,-1.8780432,-2.0227375,-1.4633629
-0.5404657,0.8541963,-1.1249051,-0.031008918,-2.6762435,-2.0026608,-2.2172973,-1.7318921
-1.3811723,1.2115669,1.2818713,0.28268334,-2.4153664,-1.8335733,-1.9795831,-1.5599368
0.100336045,0.4022867,-1.3643492,0.09179913,-2.692857,-2.0641694,-2.2006094,-1.8879907
-1.0375608,0.38355467,0.17739941,0.7642347,-2.7445672,-2.0863385,-2.205324,-1.7888427
-1.2706409,-0.3301248,-0.5545408,0.28560853,-2.614246,-2.1202357,-2.159023,-1.7278476
-0.4145641,1.0398602,1.5355703,-0.56804204,-2.813225,-1.9757785,-2.0119998,-1.8971395
-0.07672319,-0.48712355,-0.6376991,0.5022546,-2.5618393,-2.1829264,-2.2043703,-1.8323627
0.6735857,0.47354007,-0.88114953,0.89514023,-2.6531894,-2.0384238,-2.183169,-1.8691165
0.3627805,0.25900143,-0.1678914,0.3629402,-2.7320843,-2.1351907,-2.2111428,-1.876209
0.43257004,-0.8830245,-0.83337915,1.7131406,-2.4852512,-1.9910468,-1.9195594,-1.7642393
-1.0553931,0.83291215,-0.9716661,-0.004690392,-2.6111546,-1.9326138,-2.1819565,-1.7446244
0.08268522,1.3312635,-0.29325876,0.6630041,-2.8381019,-1.9125873,-2.1937616,-1.7860546
-0.23847649,0.34647572,-0.23852743,1.3381342,-2.667421,-2.167553,-2.2630217,-1.8904667
-0.82699746,0.3877972,0.5672195,0.50547916,-2.698351,-2.1598072,-2.2347713,-1.8263743
-0.9584768,-0.8482445,0.28318325,0.26621947,-2.6597013,-2.2225146,-2.1773233,-1.8045096
