0,1,2,3,4,5,6,7
-1.3811108,-1.5155289,0.1511591,-1.2829584,0.70239574,-0.25807077,0.87539995,-0.13679005
-0.9747586,-0.57965463,-0.97538537,0.027202576,0.93659556,-0.3153996,-0.51903635,-1.2585542
0.47918183,-0.34689936,0.5520358,1.6512115,-1.5779297,0.85300195,-0.11555612,0.2984847
0.62915504,0.4860614,-0.35992333,0.1895968,1.2518063,0.5276722,-0.19187233,-0.08806774
-0.4774379,0.8016417,1.0673295,-1.8649834,-0.21645743,-1.3028121,-1.4893086,0.6523174
0.34958434,-0.20384234,-0.20229444,0.37371013,1.0271783,-0.2091327,0.9094103,1.8147277
0.5900818,-1.1066117,1.2009573,0.6273837,-0.037729442,0.30674198,-1.6466656,0.25437444
2.3897736,1.1943175,-0.49783933,0.594563,2.1036677,-1.3085468,0.642812,1.3547623
0.8247736,1.0467485,1.527406,-0.15313739,0.22311705,-0.2893863,-1.1562822,0.76645863
-1.8149269,-1.7080144,-0.3067645,0.54776067,0.19966716,0.9591254,0.76863,0.74068916
0.29360303,-1.8410945,0.26814014,0.71244264,0.6508063,0.10305002,1.7235096,0.5393872
0.22907867,0.41852963,-0.8144535,-0.17213859,1.5220072,-0.5595382,0.031630695,-0.024473744
1.2659576,1.0575645,-1.8955847,0.7575289,-1.0014776,0.18120837,-0.2860471,-0.6956666
-0.1363229,0.31337094,2.372523,-0.4728915,0.5384566,-0.14384125,0.2837265,-0.044445418
-2.3807082,1.926129,0.116035014,-0.49397546,-0.082680225,-0.29878563,0.79626983,-0.9003524
0.17170122,0.21336381,-1.0014906,-0.42038906,0.27836323,-1.2448525,0.7408381,-0.9891366
0.29049426,-0.13346308,1.2206899,0.59665895,1.4863236,0.11584303,-0.030956402,1.9508214
1.5578805,-0.39962152,-0.2756127,-1.6924592,-1.4509568,-0.63099766,-0.30164754,-1.6491156
0.6555767,-0.100707084,-0.5215483,0.7875286,0.8133062,0.15154162,0.052958667,-0.10609846
-2.5995605,1.450018,-0.28925064,-0.64127123,2.5386329,-1.5162158,-1.9175674,0.95030546
-1.3881267,1.2593073,1.1455737,0.2669541,-1.2431697,1.8887687,0.5566304,-0.7334702
2.6513212,2.18084,-2.1003034,-0.6911881,-1.6239339,1.37879,0.114675134,0.61847556
0.09426813,-0.39785132,-1.1095583,-0.93482226,1.5310522,-0.65266085,0.6258511,-1.894485
1.2702086,-1.4409628,-0.6015263,-0.43473083,0.047140956,-0.5192407,-0.81801903,1.072249
0.37642214,0.34626567,-1.143342,2.0044916,0.010826528,0.5075916,-0.67457336,-1.051483
-0.13054864,-0.55034035,-0.13151066,0.5868932,0.8611259,0.9978311,-1.4892282,-0.44280046
0.50695175,0.5878612,-1.4816632,-0.32472914,-1.1633592,0.7132006,0.97491527,0.4616045
-0.20506391,0.72195137,-0.12248629,0.6718676,0.8876993,-0.33579716,0.4030884,-0.9213722
-0.37979504,-1.6492559,-0.40689552,-0.06333834,-0.22001301,1.0345289,0.730956,0.032035243
-0.99312127,-1.1726542,-0.59883124,0.3004756,0.99705666,-1.1065905,-0.092118874,0.25930548
-0.45099384,0.7477419,-1.1026783,1.2093385,1.9487675,1.1922594,0.35399157,-0.65985113
-0.5748744,-1.3117055,0.207869,1.1423945,-0.045672826,-0.41194046,0.2753811,-0.7471216
-1.1234298,1.9496677,-1.2767606,-0.034605682,0.5025115,0.5029988,-1.0739928,-0.36586607
-1.3625281,1.3852481,-1.3607299,-1.0229112,-0.83239824,2.3166764,-0.6588334,-0.36090723
-1.2153105,-0.3588816,-0.40699407,0.6761893,0.8040474,0.38511956,-2.5395527,0.6064172
-0.5932448,0.4821995,0.41936028,0.91988784,1.0100437,0.85240257,0.36084113,-0.5923373
-1.2613127,-0.90305865,1.2934376,-1.2166815,-0.7885154,0.30243817,0.44801182,0.96278715
1.359442,1.2277052,-1.3691833,-1.1579223,-0.13890254,0.3865082,0.05838736,-1.3945862
-0.034004346,-0.3999272,0.19230455,-1.4369202,-0.7929708,0.52034765,0.42256713,1.226993
2.6367314,-0.4669856,-0.7565665,1.5529579,-0.993628,-0.76593703,-1.4264392,-0.49232194
0.29243684,0.4663624,-0.20136717,0.43712687,-0.99774116,0.35003844,-0.46197188,-1.71249
-0.22626421,-1.268445,-0.83065176,0.6589362,1.0288978,0.37002096,0.9221386,0.35666803
1.3351345,-0.1742414,0.9392206,1.2505841,0.45560977,1.1330471,-1.2689495,-1.3681728
0.07122887,1.8633363,-1.6281308,-0.5726672,-0.38800558,0.28759524,0.9054971,-0.15196562
0.36253566,-1.4826666,-0.7249329,-1.0449426,-0.77070355,0.35387105,0.47041795,0.51737154
-0.11886461,-0.009603338,-0.3293208,0.4867339,0.6351824,0.41750067,1.7897042,0.7946981
1.5235977,-0.6103157,0.7959589,-0.8126316,0.63451314,-0.15356618,0.3005737,1.1650078
0.17307134,-0.7648767,2.02776,-1.6451737,-0.26209268,-1.3156992,-2.0710487,0.5999666
-0.24515471,0.36155182,0.6850574,0.17563654,1.7999549,-1.3549529,-0.8802179,-0.7748115
0.531291,-0.5686831,0.0073356032,0.27475452,-1.2416203,-0.51708394,-0.23653501,-0.048434272
-0.640062,-0.5854803,0.66426426,1.2363462,-0.38326338,0.03598234,0.50991917,-1.5646995
-0.10770403,-0.14305237,-0.02124682,1.6482673,0.4404006,0.038668513,-0.0069289654,-0.32136956
-0.6698711,0.14773189,1.1869992,0.4006917,-1.6119609,1.589608,0.97913516,0.30985808
-0.47788018,-0.9107165,-0.39442363,-0.3636706,0.08581785,-0.46617925,-1.0251857,-1.1795081
-0.84044576,-0.4520587,-1.2695345,0.20065185,-1.0719775,1.0472558,0.74746186,1.3253405
0.113659546,-0.49066383,-1.1824013,-1.5252739,0.09580773,0.09386341,0.56881034,-0.3896384
0.19461781,0.16571483,-1.8322202,-0.51784456,0.88380134,0.40261564,0.24952886,-0.34356526
0.90476125,0.61075276,1.5356315,0.7114248,0.40139264,0.8246651,0.7355106,1.038122
0.07599902,-0.33469868,-0.064293444,0.6912713,0.19185154,0.4477986,-0.9122591,-1.7769805
0.124487564,-0.55763805,-0.43464774,1.2461098,-0.0337224,2.553695,1.0025914,0.39263815
0.27020234,1.2076259,0.19580261,1.6789031,0.13626714,-0.052756883,-0.7054718,-0.40951937
-0.51325125,-0.39473063,0.012019694,0.4349628,0.2191734,-0.7934165,-1.1001298,-0.07484189
-0.20208251,0.43555456,-0.32109272,-0.8210218,1.7197595,-1.7584802,0.73139226,-0.6733006
0.2862907,-0.8318026,-0.5983204,0.7585591,0.29837948,-0.69710404,0.30061662,-0.4916212
-0.2443102,1.2780828,-0.20129418,0.73893386,0.29402405,1.4345971,0.3124031,-0.6266152
0.10837095,0.22611463,0.9294463,2.136753,-1.7204466,-0.995694,-0.3681531,-0.15122394
-1.8720096,-2.1470447,0.88447595,-0.932248,-1.0685949,-0.30190998,0.20333458,0.24574149
-0.3064447,-0.65856826,-0.6748668,1.3176147,-0.5631498,0.67125374,0.4930768,-0.7829362
-0.21798259,0.0547355,-0.5624706,-0.2240797,-1.5540717,0.6269636,-1.0049499,-1.2431797
0.88545024,0.19961727,-0.20084661,0.26534918,0.07623583,0.67910886,-0.8813621,-0.13090809
-0.19387852,-0.9115791,-1.2396598,0.8771814,0.61921227,-0.28667232,0.58923405,-0.5248578
-0.9617757,-0.06522712,0.53033274,-0.81050205,-0.994587,0.1357848,1.494133,-1.5361971
-0.7825677,0.04483228,2.3292217,2.1478617,0.43826276,-0.80049026,-1.1393303,0.27582997
0.57050705,-1.461057,1.0717131,-1.5570084,-0.14688423,0.37615827,0.1878739,-1.0613352
-1.3045678,2.086562,0.53233945,0.4416536,0.68653506,1.3360366,0.20191228,0.8257249
0.1725264,-1.4040084,-0.2952934,0.5289471,0.45045823,-1.240626,-0.31763113,1.8803465
-0.08131634,-0.483961,-0.78659296,-0.43531576,-0.18995768,-0.4801584,-0.68981916,0.6960951
-0.08370745,0.16144615,-0.5180856,1.0867964,-1.0811312,-0.8521023,0.8665325,1.8557906
0.071064666,-1.3165946,-0.30236796,-1.0455743,0.030408204,1.1906246,1.0729306,-0.081702836
0.16442657,-0.74248946,-0.032722235,-1.1622494,-0.8597717,-0.39711645,1.3158035,1.5153093
0.64222556,0.7843807,-0.43336406,1.1138184,1.2058067,-0.6748634,-0.3409211,-0.665027
-0.71197486,-0.66015464,0.89253736,-0.28757685,0.75275993,0.2885208,-0.8999589,1.4485171
0.5268028,-0.5874107,-0.48678103,-0.36890602,-1.1334019,-0.046115812,-0.4674701,-0.07828769
-0.09984805,-0.36107332,1.0719501,-0.96965677,0.22170673,-0.47729778,-0.072478056,1.3582078
-0.15999132,1.3500717,-0.11498025,1.2288263,-0.061704002,-0.121890254,-0.665071,-0.80683607
-1.1701473,-0.27008316,0.85509986,0.6134622,0.1536588,1.127306,1.1348492,-1.2493784
0.24247038,0.22077265,0.54884607,-1.7504487,-2.0407562,-0.40408283,0.6355483,-0.51805156
0.14694327,-0.25237143,0.35897946,0.21769579,-0.53470075,-1.057451,0.4053786,-2.03598
-0.9208121,2.065854,0.7425479,-0.3331355,-1.8020706,0.8623403,-0.6108106,-0.23454154
-0.32679796,-0.91088516,0.113862395,-0.0503517,0.11323427,1.7144574,1.0911567,0.09477714
-0.15973805,-0.13580883,0.7526515,0.31140935,-0.52254957,-0.72960496,-0.64079106,0.2015306
3.9222298,-1.3674006,0.6515041,0.66532665,-0.39761922,-0.30852315,0.4230548,0.38130054
-0.48205703,-0.70479524,0.33949602,-0.35821745,-1.98803,0.4227215,-1.0747888,0.38334545
-0.35617962,0.7164384,-0.5673007,0.94431776,-0.09480014,0.67865,-0.51237804,0.036715582
-0.26723224,-1.1544394,-1.0038099,-1.408612,0.6052597,-1.5726019,-0.15330084,1.5929184
-0.6876575,0.83765054,-0.5926771,1.3074685,0.022934675,-1.5129559,0.77621204,0.19291145
0.44571358,2.4087503,-0.49631923,-0.07716787,0.11732586,0.03203976,0.67247814,-0.7603138
