mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
1.1604384,-0.46437198,-0.18722852,0.31849614,-2.43369,-3.551228,-3.6734002,-3.8742795
0.38425285,-0.4883201,-0.79655474,-1.2661028,-5.442666,-4.5921903,-4.523966,-4.9772263
-2.6161692,0.28782305,0.6428199,2.0129304,-8.783828,-6.1083546,-6.9399114,-5.5217276
1.1856775,0.36614317,0.35488105,1.3938572,-2.5345583,-3.4799342,-3.7438345,-3.7186027
0.040034704,0.7767943,-0.32099745,-0.42699197,-6.442542,-5.2494187,-5.0933275,-5.6201806
1.5249934,0.49574563,0.72507435,0.07652284,-2.3733745,-3.4697537,-4.0683756,-3.8530502
1.0025468,0.39869374,-1.1022617,0.81191885,-2.7173157,-3.1312242,-3.3023741,-3.6945243
1.3437835,0.24086784,0.8769247,0.205403,-2.7360473,-3.6801376,-4.4029303,-4.115301
1.559376,0.7356805,0.8603099,0.24276254,-2.4466088,-3.5000567,-4.04459,-3.764411
1.005331,0.44141158,-1.1552804,0.826527,-2.6836991,-3.0550275,-3.2474113,-3.6476283
1.3914213,0.8455575,1.558062,0.23561561,-3.383874,-3.9404035,-4.766788,-4.1401153
0.12554562,-0.24694216,-0.6754272,1.44595,-5.1394033,-4.5573144,-4.886458,-4.9385414
1.3467609,0.8131556,0.49794477,1.4752934,-2.3460612,-3.1924057,-3.4557362,-3.338653
0.96263283,0.42832905,-1.1875392,0.890902,-2.7534537,-3.0415864,-3.2640107,-3.651887
0.370665,1.880647,-1.550227,-0.5143952,-5.8157487,-4.9584875,-3.8128726,-4.7417407
-0.4254114,-1.726904,0.66362363,0.52739483,-7.0826435,-5.588666,-6.4088135,-6.0056376
0.9861911,0.9745374,-0.14652194,-1.2635263,-4.453112,-4.2138853,-4.6574135,-4.8975883
-0.10477719,0.68088794,-0.48343554,-0.2807522,-6.5102944,-5.3633733,-5.147458,-5.6060104
-0.6271463,-0.9992716,0.6946078,-0.029845633,-8.541102,-6.762323,-7.2765636,-7.036008
0.70772773,0.39047098,0.13972303,-0.46580186,-4.9707837,-4.7795653,-4.800423,-5.0145407
1.006687,0.4450403,-1.1738784,0.8372397,-2.6607814,-3.0131674,-3.2286446,-3.6235738
1.0659791,-0.5212058,-0.09051055,0.07559508,-2.979981,-4.0478764,-4.003905,-4.1998096
0.38628694,0.4324036,-0.27357113,-0.35635316,-5.752937,-4.978938,-4.955243,-5.3684545
0.68487114,1.2491585,-1.7048799,-0.5892592,-4.802496,-4.4971905,-3.535579,-4.382061
0.3488119,-0.3386982,-1.375535,-0.6439484,-5.3262787,-4.596683,-3.997085,-4.7114844
0.12237028,-2.6165261,2.5743046,0.6421883,-5.7363935,-5.6832423,-5.611504,-5.0861335
-0.9724101,-1.7793003,-1.2972927,2.5866895,-6.875998,-4.487371,-5.045017,-5.0080423
0.9269549,-0.19701411,-0.56332463,-0.3922139,-3.6474652,-4.2202907,-4.0012846,-4.4050727
0.75243795,-1.1007233,0.41879198,-0.428295,-4.2486677,-5.0851364,-5.170748,-5.103138
0.8960297,-1.2181488,-0.71607536,-0.18818454,-3.2965517,-4.4438643,-3.814197,-4.2259283
0.7312979,0.098228395,-1.1273105,1.0948272,-3.2715964,-3.338582,-3.6038263,-3.892397
1.3934337,0.4334787,1.1303388,0.31381634,-2.7665577,-3.6967244,-4.445663,-4.0569873
1.1063341,0.89242005,-0.24035892,-0.99996793,-3.9064112,-3.988778,-4.33396,-4.6171017
-1.3399495,-0.9723829,-0.07623471,2.0910652,-9.190408,-6.8875327,-6.866643,-6.8174644
1.1690729,0.038971175,0.1115153,0.8016332,-2.6335773,-3.757032,-3.9350066,-4.0364547
-0.7551809,-1.677531,1.0032943,0.4355014,-8.516212,-6.8703403,-7.31163,-7.015265
1.0025615,0.41354895,-1.1186239,0.8155898,-2.7107546,-3.1105328,-3.2864776,-3.682138
1.2010142,-0.3939878,-0.20329292,0.22784129,-2.3912926,-3.5247617,-3.6519678,-3.8564234
0.1820668,-0.35334963,-1.6869545,-0.5812435,-5.784288,-4.9684935,-4.028848,-4.782926
0.9977084,0.95417845,-0.10693501,-1.2599621,-4.4426036,-4.2622957,-4.654956,-4.9279585
1.5283693,0.45083088,0.6467091,0.052554917,-2.3055992,-3.4237342,-4.012211,-3.8277764
1.3972147,0.8912491,1.5250062,0.23701742,-3.3849216,-3.9325352,-4.7241726,-4.1162086
1.0012095,0.41052336,-1.1126871,0.8136874,-2.7173448,-3.118209,-3.2938132,-3.6882763
0.7368373,-0.23608951,1.0278128,0.49254665,-4.4503703,-4.6083307,-5.4345036,-4.9459453
0.52609515,-0.06485745,-1.170111,1.3182453,-3.707951,-3.4967284,-3.8088403,-4.038517
0.9685672,-1.3684258,-0.95203066,-0.191017,-2.9075456,-4.1251545,-3.5198057,-3.939546
