mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
0.06427347,-0.93085253,0.47647637,1.5506363,-5.891671,-6.2852793,-5.4967604,-4.255782
-0.8102188,-0.7997221,-0.1198145,0.9941094,-5.83644,-6.4300833,-5.392013,-4.130024
-1.2118548,1.185096,-0.50771654,1.269232,-4.9445,-5.8858423,-5.2634544,-4.354314
-0.47693235,0.8846785,-1.1115161,0.8692235,-4.994339,-6.2580314,-4.9228992,-4.8932443
-1.3925283,1.9858677,1.4543786,0.31393933,-4.7452908,-4.200167,-4.6546307,-2.930587
-0.6439076,-0.74222636,0.08025569,1.2487872,-5.935259,-6.3261166,-5.400988,-4.068091
1.4618118,1.8899652,-0.36241534,-0.6987712,-4.4504585,-5.1904,-3.8310866,-4.7843347
-0.69709426,-0.39857852,-1.4624736,-1.3871403,-4.8928595,-7.061866,-4.0177746,-5.2641215
-0.019158132,-1.2016299,0.47934818,1.5491891,-5.8387146,-5.7114286,-5.404529,-4.092685
-0.24517491,-1.0141617,-1.2527887,-1.3402635,-5.357937,-6.093239,-4.3096075,-5.4761376
0.024732944,0.24823537,1.3600419,0.46688348,-5.195051,-7.556907,-4.813319,-3.9023795
-1.3021379,0.6567089,-0.41840103,-0.829174,-4.7640357,-7.198657,-4.513972,-4.649256
-1.8575449,1.1728399,-0.2823575,-1.2431247,-4.233101,-6.1607013,-4.162654,-4.4872713
-0.9058709,-2.3436298,1.2241848,0.6363241,-5.1717443,-3.7917058,-4.86317,-3.2058125
-0.5198888,-1.9588915,0.8215346,0.4119541,-5.4808254,-4.3329544,-4.9089947,-3.6652446
-0.7000844,-0.95735186,-0.022191573,1.6633267,-5.9473486,-5.935995,-5.5326066,-4.0311837
1.366585,0.2379957,-0.32426137,-1.0023776,-4.5801487,-7.312459,-3.9378095,-4.9747996
0.8604031,-0.927974,0.8243898,0.28390294,-5.3463993,-6.4327555,-4.8736887,-4.4457664
0.31333792,-0.6721324,1.6578994,-1.2831285,-5.227503,-6.7859607,-4.5663767,-4.154149
0.9233345,-0.21735454,-0.42684424,-0.7467783,-5.135853,-7.519241,-4.2849684,-5.033117
0.50803477,0.25194573,1.4794695,-0.42037973,-4.877452,-7.235443,-4.483567,-4.1934867
-0.18987232,-0.74706095,-0.61393857,0.22480386,-5.963583,-6.284669,-5.0540743,-4.81603
-0.8474877,0.795152,1.5024842,0.44352758,-5.1475067,-6.905792,-5.123995,-3.5717406
-2.7464063,0.7018818,0.76752,0.33285898,-4.350093,-7.691055,-4.830075,-3.1408167
-0.061042406,-0.992161,1.980247,0.8162234,-5.358491,-6.3844705,-5.221293,-3.4487553
-1.4464973,-0.6257336,-1.9755265,-0.18694237,-4.0228443,-6.376817,-4.2509594,-4.9020395
-1.1844031,0.12415919,-0.5660829,2.0490038,-4.768005,-7.4060073,-5.0549006,-3.7278295
-0.7563922,0.86308557,-1.2105002,-0.90033126,-4.8555417,-6.4065027,-4.381894,-5.170719
-0.029584475,-1.7992039,1.7160352,0.59222394,-5.230603,-4.8560133,-4.9799504,-3.4073825
-1.1292641,1.3331733,0.057167005,-0.20100981,-4.9368525,-5.1170645,-4.828472,-4.324438
-1.4460863,0.04268042,-0.38482234,-0.68568087,-4.6786423,-7.5303555,-4.338391,-4.1904097
1.0475228,1.1225445,-0.63667804,0.29496098,-4.978321,-6.246218,-4.3388634,-4.9386044
0.45757636,-0.22845973,1.6408762,0.5892291,-5.0379505,-7.2029643,-4.7358284,-3.8061023
0.33183417,-0.92885125,1.8433938,0.64076245,-5.303212,-6.39497,-5.077581,-3.695919
1.4284796,1.2261415,-0.2466047,0.105012774,-4.748536,-6.442684,-4.222953,-4.997079
-0.67384994,1.2351716,-0.9683508,0.044499844,-5.038928,-5.3341208,-4.784792,-4.974268
-1.7928482,0.5527338,0.26664123,0.1562067,-4.7230625,-7.501636,-4.89096,-3.8034086
